   0.00000000       1.00000000    
  0.100000001      0.949999988    
  0.200000003      0.907499969    
  0.300000012      0.872124970    
  0.400000006      0.843518734    
  0.500000000      0.821342826    
  0.600000024      0.805275679    
  0.700000048      0.795011878    
  0.800000072      0.790261269    
  0.900000095      0.790748239    
   1.00000012      0.796210825    
   1.10000014      0.806400299    
   1.20000017      0.821080267    
   1.30000019      0.840026259    
   1.40000021      0.863024950    
   1.50000024      0.889873743    
   1.60000026      0.920380056    
   1.70000029      0.954361081    
   1.80000031      0.991643071    
   1.90000033       1.03206098    
   2.00000024       1.07545793    
   2.10000014       1.12168503    
   2.20000005       1.17060077    
   2.29999995       1.22207069    
   2.39999986       1.27596712    
   2.49999976       1.33216882    
   2.59999967       1.39056039    
   2.69999957       1.45103240    
   2.79999948       1.51348078    
   2.89999938       1.57780671    
   2.99999928       1.64391637    
   3.09999919       1.71172047    
   3.19999909       1.78113437    
   3.29999900       1.85207760    
   3.39999890       1.92447364    
   3.49999881       1.99824989    
   3.59999871       2.07333732    
   3.69999862       2.14967036    
   3.79999852       2.22718668    
   3.89999843       2.30582738    
   3.99999833       2.38553596    
   4.09999847       2.46625900    
   4.19999838       2.54794598    
   4.29999828       2.63054848    
   4.39999819       2.71402097    
   4.49999809       2.79831982    
   4.59999800       2.88340378    
   4.69999790       2.96923351    
   4.79999781       3.05577183    
   4.89999771       3.14298320    
   4.99999762       3.23083401    
   5.09999752       3.31929207    
   5.19999743       3.40832734    
   5.29999733       3.49791074    
   5.39999723       3.58801508    
   5.49999714       3.67861414    
   5.59999704       3.76968336    
   5.69999695       3.86119914    
   5.79999685       3.95313907    
   5.89999676       4.04548216    
   5.99999666       4.13820791    
   6.09999657       4.23129749    
   6.19999647       4.32473230    
   6.29999638       4.41849566    
   6.39999628       4.51257086    
   6.49999619       4.60694218    
   6.59999609       4.70159483    
   6.69999599       4.79651499    
   6.79999590       4.89168882    
   6.89999580       4.98710442    
   6.99999571       5.08274889    
   7.09999561       5.17861128    
   7.19999552       5.27468061    
   7.29999542       5.37094641    
   7.39999533       5.46739864    
   7.49999523       5.56402826    
   7.59999514       5.66082668    
   7.69999504       5.75778532    
   7.79999495       5.85489559    
   7.89999485       5.95215034    
   7.99999475       6.04954243    
   8.09999466       6.14706516    
   8.19999504       6.24471188    
   8.29999542       6.34247589    
   8.39999580       6.44035196    
   8.49999619       6.53833437    
   8.59999657       6.63641739    
   8.69999695       6.73459625    
   8.79999733       6.83286619    
   8.89999771       6.93122292    
   8.99999809       7.02966166    
   9.09999847       7.12817860    
   9.19999886       7.22676945    
   9.29999924       7.32543087    
   9.39999962       7.42415905    
   9.50000000       7.52295113    
   9.60000038       7.62180376    
   9.70000076       7.72071362    
   9.80000114       7.81967783    
   9.90000153       7.91869402    
   10.0000019       8.01775932    
