"ndvi" "zona"
"1" 0.363291144371033 "agricola"
"2" 0.0156114483252168 "agricola"
"3" 0.0162209551781416 "agricola"
"4" 0.0212613940238953 "agricola"
"5" 0.0468876324594021 "agricola"
"6" 0.0138079952448606 "agricola"
"7" -0.00178253115154803 "agricola"
"8" 0.0858475416898727 "agricola"
"9" 0.0468878522515297 "agricola"
"10" 0.176470592617989 "agricola"
"11" -0.0142687540501356 "agricola"
"12" 0.0636510476469994 "agricola"
"13" 0.0700084865093231 "agricola"
"14" 0.121842481195927 "agricola"
"15" 0.00796460174024105 "agricola"
"16" 0.0312345065176487 "agricola"
"17" 0.095990277826786 "agricola"
"18" -0.0125391846522689 "agricola"
"19" 0.00940763391554356 "agricola"
"20" 0.0773930773139 "agricola"
"21" -0.00710402010008693 "agricola"
"22" 0.0424962863326073 "agricola"
"23" 0.0230991877615452 "agricola"
"24" 0.0419767796993256 "agricola"
"25" 0.0452920161187649 "agricola"
"26" -0.00388031313195825 "agricola"
"27" -0.00805516727268696 "agricola"
"28" 0.4815853536129 "agricola"
"29" 0.0278619024902582 "agricola"
"30" 0.0509580075740814 "agricola"
"31" 0.0996234193444252 "agricola"
"32" 0.0742217972874641 "agricola"
"33" 0.0445225536823273 "agricola"
"34" 0.039183933287859 "agricola"
"35" 0.0310536473989487 "agricola"
"36" 0.0141813494265079 "agricola"
"37" 0.0175340995192528 "agricola"
"38" 0.0225470550358295 "agricola"
"39" 0.1288201212883 "agricola"
"40" 0.0759052261710167 "agricola"
"41" -0.000312989053782076 "sierra"
"42" 0.0105092963203788 "sierra"
"44" 0.0619503520429134 "sierra"
"45" 0.0881484597921371 "sierra"
"46" 0.0745285972952843 "sierra"
"49" 0.00807539653033018 "sierra"
"50" -0.0791100114583969 "sierra"
"51" 0.135733172297478 "sierra"
"52" -0.0494151338934898 "sierra"
"53" -0.0378177314996719 "sierra"
"55" 0.0744308233261108 "sierra"
"56" 0.0259087570011616 "sierra"
"57" 0.043232686817646 "sierra"
"58" 0.0301230009645224 "sierra"
"59" 0.0590518452227116 "sierra"
"60" -0.00715214572846889 "sierra"
"61" -0.0288746543228626 "sierra"
"62" 0.104674249887466 "sierra"
"63" 0.00425531901419163 "sierra"
"64" -0.01197399944067 "sierra"
"65" -0.0355140194296837 "sierra"
"66" 0.0203330758959055 "sierra"
"67" -0.0191232711076736 "sierra"
"68" -0.0271285306662321 "sierra"
"69" -0.0240722168236971 "sierra"
"70" 0.0104184038937092 "sierra"
"71" -0.0137626593932509 "sierra"
