"estacion"	"ndvi"
"1"	"invierno"	0.313527965362748
"2"	"invierno"	0.244259988674177
"3"	"invierno"	0.194960273507417
"4"	"invierno"	0.309804353053307
"5"	"invierno"	0.258400373416421
"6"	"invierno"	0.341736819157765
"7"	"invierno"	0.233181040571163
"8"	"invierno"	0.0915512628376297
"9"	"invierno"	0.166790337348414
"10"	"invierno"	0.347146784358763
"11"	"invierno"	0.111169290554891
"12"	"invierno"	0.0860332438042733
"13"	"invierno"	0.0384022131067088
"14"	"invierno"	0.109523282860095
"15"	"invierno"	0.211068979269085
"16"	"invierno"	0.143054036217408
"17"	"invierno"	0.11140835464739
"18"	"invierno"	0.182696858593937
"19"	"invierno"	0.222100147333489
"20"	"invierno"	0.105303678824239
"21"	"invierno"	0.278541350392066
"22"	"invierno"	0.275849634105121
"23"	"invierno"	0.197925526686367
"24"	"invierno"	0.349245526451309
"25"	"invierno"	0.269539768608425
"26"	"invierno"	0.165189270893561
"27"	"invierno"	0.258465848407646
"28"	"invierno"	0.075820309058724
"29"	"otono"	0.0107365478320338
"30"	"otono"	0.258576849801366
"31"	"otono"	-0.0472834728551791
"32"	"otono"	0.13588102957343
"33"	"otono"	0.126343947517177
"34"	"otono"	0.119834011826815
"35"	"otono"	0.0597663638983204
"36"	"otono"	0.23876958671697
"37"	"otono"	0.0889631859398175
"38"	"otono"	0.316859418932225
"39"	"otono"	0.275547809803
"40"	"otono"	0.116281336454501
"41"	"otono"	0.196099963042858
"42"	"otono"	0.231258537174513
"43"	"otono"	0.115608002961566
"44"	"otono"	0.0960497148118149
"45"	"otono"	0.146437790143756
"46"	"otono"	0.274197892524728
"47"	"otono"	0.182841615473651
"48"	"otono"	0.275815000009666
"49"	"otono"	0.195447344361337
"50"	"otono"	0.30565235664832
"51"	"otono"	0.138774570856431
"52"	"otono"	0.192140260840014
"53"	"otono"	0.236361646445978
"54"	"otono"	0.13580956635726
"55"	"otono"	0.100786537756344
"56"	"otono"	0.296106364397604
"57"	"primavera"	0.278360886848844
"58"	"primavera"	0.284906821128772
"59"	"primavera"	0.319641992816397
"60"	"primavera"	0.204695821389326
"61"	"primavera"	0.310777914633064
"62"	"primavera"	0.308721451424218
"63"	"primavera"	0.222427292117787
"64"	"primavera"	0.174406328587356
"65"	"primavera"	0.413107875455236
"66"	"primavera"	0.439169760061984
"67"	"primavera"	0.313541316033882
"68"	"primavera"	0.26041061428669
"69"	"primavera"	0.249881994451255
"70"	"primavera"	0.129109152869704
"71"	"primavera"	0.343858653677386
"72"	"primavera"	0.354402395609646
"73"	"primavera"	0.410737361703479
"74"	"primavera"	0.318847384604121
"75"	"primavera"	0.258218259566131
"76"	"primavera"	0.273064563854959
"77"	"primavera"	0.143196752839761
"78"	"primavera"	0.413054122294192
"79"	"primavera"	0.316811221357297
"80"	"primavera"	0.281160691892556
"81"	"primavera"	0.312967162699515
"82"	"primavera"	0.323204802172462
"83"	"primavera"	0.206346513399725
"84"	"primavera"	0.230291021401611
"85"	"verano"	0.651781099544951
"86"	"verano"	0.685734623469849
"87"	"verano"	0.681182403032238
"88"	"verano"	0.612422513154326
"89"	"verano"	0.556836103400476
"90"	"verano"	0.520851986521287
"91"	"verano"	0.604381507178104
"92"	"verano"	0.603679312657069
"93"	"verano"	0.531945164176317
"94"	"verano"	0.652381345641154
"95"	"verano"	0.899688270581725
"96"	"verano"	0.659069151553163
"97"	"verano"	0.648426713602956
"98"	"verano"	0.570606160135924
"99"	"verano"	0.650767632920671
"100"	"verano"	0.497503150746481
"101"	"verano"	0.384579323721991
"102"	"verano"	0.632202107168387
"103"	"verano"	0.740474957571018
"104"	"verano"	0.567814333275422
"105"	"verano"	0.656282555003449
"106"	"verano"	0.630818298084835
"107"	"verano"	0.529484720071521
"108"	"verano"	0.778735094619437
"109"	"verano"	0.60625855259984
"110"	"verano"	0.499418946695488
"111"	"verano"	0.443750309150145
"112"	"verano"	0.530076797029789
